4-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,det,bos,0.51,det,bos,3-5,1,,-100.0,+100.0
,cgy,ott,-0.56,ott,ott,4-5,,1,+100.0,-100.0
,edm,car,-9.8,car,car,4-7,,4,+247.0384151055491,-247.0384151055491
,nyr,chi,5.06,nyr,nyr,1-0,,2,-154.31859487420417,+154.31859487420417
,col,min,-15.14,min,col,3-2,6,,+435.38377043072944,-435.38377043072944
,phi,nj,-10.63,nj,nj,2-5,,4,+268.71060691955904,-268.71060691955904
,,,,,,,,
3-7-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,mtl,ari,21.92,mtl,mtl,2-0,,8,-1090.4592383490772,+1090.4592383490772
,phi,bos,-12.38,bos,bos,2-3,,5,+322.0671968957716,-322.0671968957716
,buf,wsh,-18.99,wsh,wsh,1-6,,7,+700.90199362304,-700.90199362304
,col,cbj,5.49,col,col,4-0,,2,-161.03352453555607,+161.03352453555607
,dal,tb,-17.18,tb,tb,4-5,,6,+554.4246937256526,-554.4246937256526
,nyi,fla,9.48,nyi,fla,3-4,4,,-239.2146168164683,+239.2146168164683
,pit,la,2.31,pit,pit,1-0,,1,-117.08183746750507,+117.08183746750507
,wpg,nsh,-12.31,nsh,wpg,3-1,5,,+319.70348863930303,-319.70348863930303
,van,sj,5.61,van,van,3-2,,2,-162.956815641009,+162.956815641009
,stl,tor,12.42,stl,stl,6-1,,5,-323.42739067104776,+323.42739067104776
,,,,,,,,
3-6-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,pit,ana,-1.1,ana,pit,5-2,1,,+103.31620159596247,-103.31620159596247
,buf,ott,-22.73,ott,ott,2-3,,8,+1257.5566379053967,-1257.5566379053967
,cgy,det,-4.36,det,cgy,5-2,2,,+143.94797532684075,-143.94797532684075
,min,car,12.79,min,min,3-1,,5,-336.3464162698244,+336.3464162698244
,edm,chi,-18.9,chi,chi,1-2,,7,+692.3930269413626,-692.3930269413626
,cbj,nj,-13.61,nj,cbj,3-2,5,,+367.31777858307987,-367.31777858307987
,,,,,,,,
3-5-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,van,ari,22.44,van,ari,2-3,8,,-1193.3941728919904,+1193.3941728919904
,cgy,bos,1.05,cgy,cgy,4-3,,1,-102.77666341014023,+102.77666341014023
,dal,fla,-0.04,fla,dal,4-3,1,,+100.0,-100.0
,mtl,la,1.95,mtl,la,3-4,1,,-112.83905622958241,+112.83905622958241
,min,wsh,-0.5,wsh,min,2-1,1,,+100.0,-100.0
,nyi,nsh,-7.9,nsh,nyi,4-3,3,,+204.35770087608253,-204.35770087608253
,stl,phi,8.8,stl,phi,1-3,3,,-223.48214103466373,+223.48214103466373
,tor,tb,-27.39,tb,tb,2-4,,10,+3746.1538461538544,-3746.1538461538544
,,,,,,,,
3-4-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,mtl,ana,0.82,mtl,ana,1-3,1,,-100.3230713768525,+100.3230713768525
,pit,col,9.37,pit,col,1-3,4,,-236.5891259356156,+236.5891259356156
,nyr,det,6.4,nyr,det,1-2,3,,-176.18888137062422,+176.18888137062422
,ott,wpg,-0.69,wpg,ott,3-1,1,,+100.0,-100.0
,,,,,,,,
3-3-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,ari,22.01,ana,ana,4-1,,8,-1107.263993179175,+1107.263993179175
,buf,tb,-28.42,tb,tb,0-3,,10,+3746.1538461538544,-3746.1538461538544
,cgy,phi,-2.07,phi,cgy,3-2,1,,+114.23893878407978,-114.23893878407978
,wsh,cbj,10.19,wsh,wsh,5-3,,4,-256.96438719083886,+256.96438719083886
,nyi,dal,19.49,nyi,dal,2-3,7,,-751.0382661009398,+751.0382661009398
,la,edm,8.63,la,la,5-2,,3,-219.72781540373796,+219.72781540373796
,tor,fla,-14.51,fla,tor,3-2,5,,+405.54794486681357,-405.54794486681357
,ott,min,-2.31,min,min,2-3,,1,+117.08183746750507,-117.08183746750507
,nsh,nj,2.8,nsh,nj,1-3,1,,-123.0707137222454,+123.0707137222454
,sj,van,-3.74,van,sj,6-2,2,,+135.30122016303062,-135.30122016303062
,,,,,,,,
3-2-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,car,chi,-8.9,chi,chi,2-5,,3,+225.72300229927387,-225.72300229927387
,mtl,sj,14.59,mtl,sj,0-4,5,,-409.18697277888515,+409.18697277888515
,nsh,nyr,-4.95,nyr,nyr,1-4,,2,+152.64398952931023,-152.64398952931023
,,,,,,,,
3-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,dal,11.66,ana,ana,3-1,,4,-298.72171022975743,+298.72171022975743
,cbj,pit,-9.38,pit,pit,3-5,,4,+236.82648425709056,-236.82648425709056
,tb,fla,15.91,tb,fla,3-4,6,,-475.873902668921,+475.873902668921
,la,wpg,-0.71,wpg,wpg,2-5,,1,+100.0,-100.0
,stl,van,0.02,stl,van,5-6,1,,-100.0,+100.0
,tor,wsh,-19.32,wsh,wsh,0-4,,7,+733.4252501922018,-733.4252501922018
,,,,,,,,
2-28-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,bos,-17.74,bos,bos,1-4,,6,+594.7406172087078,-594.7406172087078
,buf,fla,-6.95,fla,fla,3-5,,3,+186.02556201423587,-186.02556201423587
,car,nyi,-20.65,nyi,car,5-3,7,,+889.6497434071712,-889.6497434071712
,min,col,8.27,min,min,3-1,,3,-211.9996383372094,+211.9996383372094
,nj,cbj,-2.11,cbj,nj,2-0,1,,+114.70873656888246,-114.70873656888246
,det,nsh,-12.12,nsh,det,4-3,5,,+313.392529782635,-313.392529782635
