Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won
7-21-2012,houston-astros,arizona-diamondbacks,-59.34%,146,-146,192,-222,46,76,$100,$192.0,$0,$100,$192.0,$0
7-21-2012,atlanta-braves,washington-nationals,50.16%,-101,101,-102,-114,1,15
7-21-2012,baltimore-orioles,cleveland-indians,51.92%,-108,108,138,-158,46,66,$100,$138.0,$238.0,$100,$138.0,$238.0
7-21-2012,toronto-blue-jays,boston-red-sox,-53.48%,115,-115,116,-135,1,20,$100,$115.99999999999999,$216.0
7-21-2012,chicago-white-sox,detroit-tigers,-52.03%,108,-108,-117,100,25,8,$100,$100.0,$200.0
7-21-2012,milwaukee-brewers,cincinnati-reds,-56.39%,129,-129,-105,-111,34,18,$100,$90.09009009009009,$190.0900900900901
7-21-2012,colorado-rockies,san-diego-padres,-53.34%,114,-114,-109,-106,23,8,$100,$94.33962264150944,$0
7-21-2012,minnesota-twins,kansas-city-royals,-50.46%,102,-102,112,-129,10,27,$100,$112.00000000000001,$0
7-21-2012,texas-rangers,los-angeles-angels,-50.19%,101,-101,-123,106,24,7,$100,$106.0,$0
7-21-2012,los-angeles-dodgers,new-york-mets,50.01%,-100,100,-129,112,29,12,$100,$112.00000000000001,$0
7-21-2012,miami-marlins,pittsburgh-pirates,-56.86%,132,-132,133,-153,1,21,$100,$133.0,$0
7-21-2012,new-york-yankees,oakland-athletics,55.14%,-123,123,-131,114,8,9
7-21-2012,san-francisco-giants,philadelphia-phillies,55.13%,-123,123,117,-135,40,58,$100,$117.0,$217.0
7-21-2012,seattle-mariners,tampa-bay-rays,-53.59%,115,-115,164,-192,49,77,$100,$164.0,$264.0,$100,$164.0,$264.0
,,,,,,,,,,$1200,$125.09009009009014,10.42417417417418%,$300,$202.0,67.33333333333333%
,,,,,,,,,,,,,,,
7-22-2012,houston-astros,arizona-diamondbacks,-59.92%,150,-150,200,-238,50,88,$100,$200.0,$0,$100,$200.0,$0
7-22-2012,atlanta-braves,washington-nationals,50.5%,-102,102,127,-147,29,49,$100,$127.0,$0
7-22-2012,baltimore-orioles,cleveland-indians,52.16%,-109,109,104,-121,13,30,$100,$104.0,$204.0
7-22-2012,toronto-blue-jays,boston-red-sox,-52.26%,109,-109,163,-188,54,79,$100,$163.0,$263.0,$100,$163.0,$263.0
7-22-2012,chicago-white-sox,detroit-tigers,-57.12%,133,-133,110,-128,23,5,$100,$78.125,$178.125
7-22-2012,milwaukee-brewers,cincinnati-reds,-56.78%,131,-131,148,-172,17,41,$100,$148.0,$0
7-22-2012,colorado-rockies,san-diego-padres,-52.4%,110,-110,-117,100,27,10,$100,$100.0,$200.0
7-22-2012,minnesota-twins,kansas-city-royals,-53.38%,115,-115,137,-153,22,38,$100,$137.0,$237.0
7-22-2012,texas-rangers,los-angeles-angels,53.77%,-116,116,-114,-101,2,17,$100,$87.71929824561404,$0
7-22-2012,los-angeles-dodgers,new-york-mets,52.4%,-110,110,134,-153,44,63,$100,$134.0,$234.0
7-22-2012,miami-marlins,pittsburgh-pirates,-57.5%,135,-135,100,-116,35,19,$100,$86.20689655172414,$186.20689655172413
7-22-2012,new-york-yankees,oakland-athletics,54.84%,-121,121,-188,163,67,42,$100,$163.0,$263.0
